departamento;provincia;ubigeo;tecnologia_consultada;empresa;tecnologia_operador;info_de_cobertura;area_total_cubierta;area_garantizada;area_adicional;area_total_cubierta_global;area_total_garantizada_global;distrito
La Libertad;Trujillo;130108;3g;movistar;3g;"{""area_garant"": 0, ""area_adicio"": 0}";150.7413;0;0;87.931353895204;64.150307263654;Poroto
La Libertad;Trujillo;130108;4g;bitel;4g;"{""area_garant"": 34.3122, ""area_adicio"": 68.002}";150.7413;34.3122;68.002;91.808326947602;39.584589908511;Poroto
La Libertad;Trujillo;130108;4g;claro;4g;"{""area_garant"": 7.3693, ""area_adicio"": 39.0607}";150.7413;7.3693;39.0607;91.808326947602;39.584589908511;Poroto
La Libertad;Trujillo;130108;4g;entel;4g;"{""area_garant"": 0, ""area_adicio"": 31.8995}";150.7413;0;31.8995;91.808326947602;39.584589908511;Poroto
La Libertad;Trujillo;130108;4g;movistar;4g;"{""area_garant"": 0, ""area_adicio"": 11.9701}";150.7413;0;11.9701;91.808326947602;39.584589908511;Poroto
La Libertad;Trujillo;130108;5g;bitel;5g;"{""area_garant"": 0, ""area_adicio"": 0}";150.7413;0;0;0;0;Poroto
La Libertad;Trujillo;130108;5g;claro;5g;"{""area_garant"": 0, ""area_adicio"": 0}";150.7413;0;0;0;0;Poroto
La Libertad;Trujillo;130108;5g;entel;5g;"{""area_garant"": 0, ""area_adicio"": 0}";150.7413;0;0;0;0;Poroto
La Libertad;Trujillo;130108;5g;movistar;5g;"{""area_garant"": 0, ""area_adicio"": 0}";150.7413;0;0;0;0;Poroto
La Libertad;Trujillo;130109;2g;bitel;2g;"{""area_garant"": 0, ""area_adicio"": 0}";290.8273;0;0;100;84.551286169764;Salaverry
La Libertad;Trujillo;130109;2g;claro;2g;"{""area_garant"": 73.1845, ""area_adicio"": 100}";290.8273;73.1845;100;100;84.551286169764;Salaverry
La Libertad;Trujillo;130109;2g;entel;2g;"{""area_garant"": 0, ""area_adicio"": 99.6526}";290.8273;0;99.6526;100;84.551286169764;Salaverry
La Libertad;Trujillo;130109;2g;movistar;2g;"{""area_garant"": 73.7067, ""area_adicio"": 100}";290.8273;73.7067;100;100;84.551286169764;Salaverry
La Libertad;Trujillo;130109;3g;bitel;3g;"{""area_garant"": 89.0198, ""area_adicio"": 99.9864}";290.8273;89.0198;99.9864;100;89.204130526816;Salaverry
La Libertad;Trujillo;130109;3g;claro;3g;"{""area_garant"": 17.166, ""area_adicio"": 100}";290.8273;17.166;100;100;89.204130526816;Salaverry
La Libertad;Trujillo;130109;3g;entel;3g;"{""area_garant"": 0, ""area_adicio"": 99.6526}";290.8273;0;99.6526;100;89.204130526816;Salaverry
La Libertad;Trujillo;130109;3g;movistar;3g;"{""area_garant"": 0, ""area_adicio"": 0}";290.8273;0;0;100;89.204130526816;Salaverry
La Libertad;Trujillo;130109;4g;bitel;4g;"{""area_garant"": 99.539, ""area_adicio"": 100}";290.8273;99.539;100;100;100;Salaverry
La Libertad;Trujillo;130109;4g;claro;4g;"{""area_garant"": 9.183, ""area_adicio"": 81.7936}";290.8273;9.183;81.7936;100;100;Salaverry
La Libertad;Trujillo;130109;4g;entel;4g;"{""area_garant"": 1.404, ""area_adicio"": 100}";290.8273;1.404;100;100;100;Salaverry
