departamento;provincia;ubigeo;tecnologia_consultada;empresa;tecnologia_operador;info_de_cobertura;area_total_cubierta;area_garantizada;area_adicional;area_total_cubierta_global;area_total_garantizada_global
Amazonas;Rodríguez;0106XX;3g;claro;3g;"{""area_garant"": 0, ""area_adicio"": 28.9761}";2584.993;0;28.9761;51.431468442988;38.282225264062
Amazonas;Rodríguez;0106XX;3g;entel;3g;"{""area_garant"": 0, ""area_adicio"": 34.1891}";2584.993;0;34.1891;51.431468442988;38.282225264062
Amazonas;Rodríguez;0106XX;3g;movistar;3g;"{""area_garant"": 10.0041, ""area_adicio"": 16.9176}";2584.993;10.0041;16.9176;51.431468442988;38.282225264062
Amazonas;Rodríguez;0106XX;4g;bitel;4g;"{""area_garant"": 30.171, ""area_adicio"": 46.9896}";2584.993;30.171;46.9896;60.84119338254;31.320000890812
Amazonas;Rodríguez;0106XX;4g;claro;4g;"{""area_garant"": 0, ""area_adicio"": 22.2671}";2584.993;0;22.2671;60.84119338254;31.320000890812
Amazonas;Rodríguez;0106XX;4g;entel;4g;"{""area_garant"": 1.7496, ""area_adicio"": 55.1369}";2584.993;1.7496;55.1369;60.84119338254;31.320000890812
Amazonas;Rodríguez;0106XX;4g;movistar;4g;"{""area_garant"": 14.1194, ""area_adicio"": 43.9012}";2584.993;14.1194;43.9012;60.84119338254;31.320000890812
Amazonas;Rodríguez;0106XX;5g;bitel;5g;"{""area_garant"": 0, ""area_adicio"": 0}";2584.993;0;0;0;0
Amazonas;Rodríguez;0106XX;5g;claro;5g;"{""area_garant"": 0, ""area_adicio"": 0}";2584.993;0;0;0;0
Amazonas;Rodríguez;0106XX;5g;entel;5g;"{""area_garant"": 0, ""area_adicio"": 0}";2584.993;0;0;0;0
Amazonas;Rodríguez;0106XX;5g;movistar;5g;"{""area_garant"": 0, ""area_adicio"": 0}";2584.993;0;0;0;0
Amazonas;Utcubamba;0107XX;2g;bitel;2g;"{""area_garant"": 0, ""area_adicio"": 0}";3994.2175;0;0;93.028310051203;46.077195955488
Amazonas;Utcubamba;0107XX;2g;claro;2g;"{""area_garant"": 23.1596, ""area_adicio"": 68.4743}";3994.2175;23.1596;68.4743;93.028310051203;46.077195955488
Amazonas;Utcubamba;0107XX;2g;entel;2g;"{""area_garant"": 0, ""area_adicio"": 58.721}";3994.2175;0;58.721;93.028310051203;46.077195955488
Amazonas;Utcubamba;0107XX;2g;movistar;2g;"{""area_garant"": 41.5037, ""area_adicio"": 89.4204}";3994.2175;41.5037;89.4204;93.028310051203;46.077195955488
Amazonas;Utcubamba;0107XX;3g;bitel;3g;"{""area_garant"": 43.2967, ""area_adicio"": 68.382}";3994.2175;43.2967;68.382;87.638735712041;56.012364567082
Amazonas;Utcubamba;0107XX;3g;claro;3g;"{""area_garant"": 12.5088, ""area_adicio"": 67.9268}";3994.2175;12.5088;67.9268;87.638735712041;56.012364567082
Amazonas;Utcubamba;0107XX;3g;entel;3g;"{""area_garant"": 0, ""area_adicio"": 71.4497}";3994.2175;0;71.4497;87.638735712041;56.012364567082
Amazonas;Utcubamba;0107XX;3g;movistar;3g;"{""area_garant"": 31.6654, ""area_adicio"": 38.5113}";3994.2175;31.6654;38.5113;87.638735712041;56.012364567082
Amazonas;Utcubamba;0107XX;4g;bitel;4g;"{""area_garant"": 36.476, ""area_adicio"": 66.5185}";3994.2175;36.476;66.5185;94.272705758069;46.626392030204
Amazonas;Utcubamba;0107XX;4g;claro;4g;"{""area_garant"": 7.4164, ""area_adicio"": 54.4061}";3994.2175;7.4164;54.4061;94.272705758069;46.626392030204
Amazonas;Utcubamba;0107XX;4g;entel;4g;"{""area_garant"": 4.0106, ""area_adicio"": 85.3153}";3994.2175;4.0106;85.3153;94.272705758069;46.626392030204
Amazonas;Utcubamba;0107XX;4g;movistar;4g;"{""area_garant"": 16.1043, ""area_adicio"": 82.712}";3994.2175;16.1043;82.712;94.272705758069;46.626392030204
Amazonas;Utcubamba;0107XX;5g;bitel;5g;"{""area_garant"": 1.3845, ""area_adicio"": 3.6762}";3994.2175;1.3845;3.6762;3.6762423999039;1.3845431014086
Amazonas;Utcubamba;0107XX;5g;claro;5g;"{""area_garant"": 0, ""area_adicio"": 0}";3994.2175;0;0;3.6762423999039;1.3845431014086
